population,minimum_age,maximum_age,gender,zipcode,geo_id
25,5,9,male,30522,8600000US30522
25,62,64,female,50530,8600000US50530
25,62,64,female,54977,8600000US54977
25,45,49,male,58052,8600000US58052
25,62,64,female,58647,8600000US58647
25,10,14,female,68872,8600000US68872
25,10,14,female,93665,8600000US93665
26,30,34,male,22940,8600000US22940
26,60,61,female,43976,8600000US43976
26,15,17,female,52590,8600000US52590
26,70,74,male,66548,8600000US66548
26,50,54,female,67524,8600000US67524
26,55,59,female,68958,8600000US68958
26,80,84,female,97753,8600000US97753
27,62,64,female,01031,8600000US01031
27,18,19,male,12729,8600000US12729
27,80,84,male,19543,8600000US19543
27,25,29,female,25011,8600000US25011
27,60,61,female,30572,8600000US30572
27,62,64,female,51439,8600000US51439
27,60,61,female,74932,8600000US74932
27,60,61,male,77420,8600000US77420
27,35,39,female,84053,8600000US84053
27,55,59,female,85605,8600000US85605
28,67,69,female,01431,8600000US01431
28,10,14,male,13739,8600000US13739
28,75,79,female,59215,8600000US59215
28,10,14,female,62292,8600000US62292
28,65,66,male,65646,8600000US65646
28,10,14,female,73843,8600000US73843
29,80,84,female,04428,8600000US04428
29,21,21,female,18088,8600000US18088
29,25,29,male,51458,8600000US51458
29,0,4,male,55370,8600000US55370
29,80,84,female,58267,8600000US58267
29,62,64,male,62985,8600000US62985
29,22,24,female,74081,8600000US74081
29,5,9,male,89018,8600000US89018
30,25,29,male,13321,8600000US13321
30,20,20,female,20634,8600000US20634
30,60,61,female,21520,8600000US21520
30,50,54,male,35979,8600000US35979
30,0,4,female,50075,8600000US50075
30,80,84,male,54446,8600000US54446
30,25,29,female,64643,8600000US64643
30,65,66,male,98377,8600000US98377
31,22,24,female,68731,8600000US68731
31,67,69,female,81648,8600000US81648
32,21,21,male,14590,8600000US14590
32,10,14,male,16661,8600000US16661
32,65,66,male,30576,8600000US30576
32,21,21,male,38330,8600000US38330
32,45,49,male,47003,8600000US47003
32,20,20,female,53037,8600000US53037
32,70,74,female,61942,8600000US61942
33,21,21,female,49649,8600000US49649
33,35,39,female,61330,8600000US61330
33,55,59,male,76483,8600000US76483
33,20,20,male,87323,8600000US87323
34,80,84,male,15367,8600000US15367
34,35,39,male,38342,8600000US38342
34,75,79,male,56264,8600000US56264
34,70,74,male,61535,8600000US61535
34,35,39,female,65590,8600000US65590
34,,,female,99788,8600000US99788
35,85,,female,27808,8600000US27808
35,25,29,male,54469,8600000US54469
35,35,39,male,56714,8600000US56714
35,70,74,female,61087,8600000US61087
35,5,9,male,63868,8600000US63868
35,80,84,female,75756,8600000US75756
35,21,21,male,88242,8600000US88242
35,18,19,female,98828,8600000US98828
36,21,21,male,29827,8600000US29827
36,75,79,male,55047,8600000US55047
36,60,61,female,95525,8600000US95525
37,0,4,male,14506,8600000US14506
37,50,54,male,23106,8600000US23106
37,70,74,male,61937,8600000US61937
38,15,17,male,22469,8600000US22469
38,20,20,male,48650,8600000US48650
38,85,,male,63957,8600000US63957
38,25,29,female,76636,8600000US76636
39,80,84,female,12068,8600000US12068
39,0,4,female,63653,8600000US63653
39,22,24,male,81413,8600000US81413
40,,,male,30807,8600000US30807
40,62,64,male,47963,8600000US47963
40,20,20,female,49712,8600000US49712
40,15,17,female,57212,8600000US57212
41,21,21,male,21797,8600000US21797
41,62,64,male,27571,8600000US27571
41,45,49,male,38332,8600000US38332
41,70,74,male,75431,8600000US75431
42,60,61,male,02715,8600000US02715
42,10,14,female,36574,8600000US36574
42,20,20,female,43054,8600000US43054
42,62,64,female,98588,8600000US98588
43,30,34,female,10577,8600000US10577
43,15,17,female,13424,8600000US13424
43,10,14,male,22834,8600000US22834
43,62,64,male,30256,8600000US30256
43,0,4,male,62366,8600000US62366
43,0,4,female,65444,8600000US65444
44,0,4,female,23038,8600000US23038
44,22,24,female,35610,8600000US35610
44,15,17,female,38631,8600000US38631
